,Unnamed: 0,fips_final,NAME,num_hospitals,num_licensed_beds,num_staffed_beds,num_icu_beds,adult_icu_beds,pedi_icu_beds,potential_increase_in_bed_capac,bed_utilization,avg_ventilator_usage,population,cases_total,deaths_total,cases_per_capita,deaths_per_capita,case_fatality_rate,Unnamed: 0.1,county,STATEFP,COUNTYFP,CountyName,StateName,State,dem_to_rep_ratio,stay.at.home,X.50.gatherings,X.500.gatherings,public.schools,restaurant.dine.in,entertainment.gym,federal.guidelines,foreign.travel.ban,Total!!Male,Total!!Female,Total,Total!!Population of one race,Total!!Population of one race!!White,Total!!Population of one race!!Black or African American,Total!!Population of one race!!American Indian and Alaska Native,Total!!Population of one race!!Asian,Total!!Population of one race!!Asian!!Asian Indian,Total!!Population of one race!!Asian!!Chinese (including Taiwanese),Total!!Population of one race!!Asian!!Filipino,Total!!Population of one race!!Asian!!Japanese,Total!!Population of one race!!Asian!!Korean,Total!!Population of one race!!Asian!!Vietnamese,Total!!Population of one race!!Asian!!Other Asian,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander!!Samoan,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Total!!Population of one race!!Some Other Race,Total!!Population of Two or More Races,Total!!Population of Two or More Races!!White; American Indian and Alaska Native,Total!!Population of Two or More Races!!White; Asian,Total!!Population of Two or More Races!!White; Black or African American,Total!!Population of Two or More Races!!White; Some Other Race,mob_retail,mob_grocery,mob_parks,mob_transit,mob_workplace,mob_residential,0-17,18-44,45-64,65-74,75+
0,0,1001,"Autauga County, Alabama",1,85,55,6,6,0,30,0.62311333,2,55869,53,3,0.000948648,5.37E-05,0.056603774,120,Autauga,1,1,Autauga,AL,Alabama,0.326656394,737519,737504,737497,737500,737503,737512,737500,737495,26569,28002,54571,53702,42855,9643,232,474,61,67,82,41,123,51,49,32,7,13,1,11,466,869,262,177,219,50,-16.40363636,5.174545455,-34,,-24.73454545,10.94761905,14613,19347,14065,4013,2533
1,1,1003,"Baldwin County, Alabama",4,386,362,51,51,0,24,0.562202878,2,223234,188,4,0.000842166,1.79E-05,0.021276596,129,Baldwin,1,3,Baldwin,AL,Alabama,0.253255217,737519,737504,737497,737500,737503,737512,737500,737495,89196,93069,182265,179542,156153,17105,1216,1348,242,303,236,61,83,160,263,89,31,44,3,11,3631,2723,1035,336,658,311,-21.07474747,-5.712121212,-3.723232323,-14.6020202,-23.0030303,8.606817135,41898,58343,51456,17803,12765
2,2,1005,"Barbour County, Alabama",1,74,30,5,5,0,44,0.43063974,2,24686,45,1,0.001822896,4.05E-05,0.022222222,141,Barbour,1,5,Barbour,AL,Alabama,0.893105977,737519,737504,737497,737500,737503,737512,737500,737495,14576,12881,27457,27199,13180,12875,114,107,34,14,7,2,15,26,9,29,4,25,0,0,894,258,49,7,76,34,-14.2684884,-5.681071737,,,-17.28270094,,6015,9899,7634,2238,1671
3,3,1007,"Bibb County, Alabama",1,35,25,4,4,0,10,0.43090412,1,22394,42,0,0.001875502,0,0,216,Bibb,1,7,Bibb,AL,Alabama,0.278124072,737519,737504,737497,737500,737503,737512,737500,737495,12301,10614,22915,22712,17381,5047,64,22,8,4,4,0,0,1,5,13,0,13,0,0,185,203,77,16,50,16,-19.80587121,-4.359532828,3.346263911,-6.092929293,-22.45555556,9.632323232,5201,8687,6121,1723,1183
4,4,1009,"Blount County, Alabama",1,25,25,6,6,0,0,0.4990685,2,57826,40,0,0.00069173,0,0,236,Blount,1,9,Blount,AL,Alabama,0.094317337,737519,737504,737497,737500,737503,737512,737500,737495,28362,28960,57322,56638,53068,761,307,117,25,27,33,1,8,9,14,38,6,30,0,2,2347,684,330,74,112,102,-16.99802928,1.341145833,28.59935897,-48.30208333,-24.65364583,9.384230857,14106,19416,15361,5079,3360
5,5,1011,"Bullock County, Alabama",1,61,30,5,5,0,31,0.21287671,1,10101,16,0,0.001584002,0,0,324,Bullock,1,11,Bullock,AL,Alabama,3.096491228,737519,737504,737497,737500,737503,737512,737500,737495,5912,5002,10914,10828,2507,7666,23,20,2,3,11,1,0,0,3,43,0,43,0,0,569,86,28,3,12,3,-11.75,-13.38888889,,,-21.79047619,,2430,3911,3104,835,634
6,6,1013,"Butler County, Alabama",1,72,44,7,7,0,28,0.18711084,2,19448,114,1,0.005861785,5.14E-05,0.00877193,342,Butler,1,13,Butler,AL,Alabama,0.76025301,737519,737504,737497,737500,737503,737512,737500,737495,9838,11109,20947,20786,11399,9095,60,177,44,11,6,0,109,0,7,7,0,1,6,0,48,161,41,17,58,13,-11.93540052,-4.05721393,39.9380531,-12.33888889,-19.98823529,8.991836735,5056,6597,5805,1829,1660
7,7,1015,"Calhoun County, Alabama",3,486,435,30,30,0,51,0.431563297,5,113605,105,3,0.000924255,2.64E-05,0.028571429,371,Calhoun,1,15,Calhoun,AL,Alabama,0.402921041,737519,737504,737497,737500,737503,737512,737500,737495,57176,61396,118572,116597,88840,24382,540,845,179,108,123,57,165,88,125,96,17,38,31,10,1894,1975,520,223,676,143,-14.83154122,0.208201893,4.506024096,-13.39583333,-18.81074766,8.423611111,27126,42361,32095,9437,7553
8,8,1019,"Cherokee County, Alabama",1,60,45,8,8,0,15,0.24253164,1,26196,16,0,0.00061078,0,0,495,Cherokee,1,19,Cherokee,AL,Alabama,0.172791243,737519,737504,737497,737500,737503,737512,737500,737495,12888,13101,25989,25602,24081,1208,135,54,14,14,20,3,0,1,2,1,1,0,0,0,123,387,206,19,94,35,-12.56920078,3.050574713,43.74683544,-5.305555556,-18.50541516,7.596707819,5566,7829,7943,2909,1742
9,9,1021,"Chilton County, Alabama",1,30,26,6,6,0,4,0.28545839,2,44428,58,1,0.001305483,2.25E-05,0.017241379,516,Chilton,1,21,Chilton,AL,Alabama,0.193024335,737519,737504,737497,737500,737503,737512,737500,737495,21608,22035,43643,43137,36713,4230,155,130,21,19,33,10,6,14,27,55,2,41,7,5,1854,506,142,44,158,97,-15.17952381,1.428181818,-25.5,-10.26727273,-20.06727273,8.747619048,10960,15271,11491,3445,2476
10,10,1023,"Choctaw County, Alabama",1,25,25,4,4,0,0,0.23473972,0,12589,51,0,0.004051156,0,0,522,Choctaw,1,23,Choctaw,AL,Alabama,0.757184608,737519,737504,737497,737500,737503,737512,737500,737495,6688,7171,13859,13801,7731,6012,18,12,3,0,4,3,1,0,1,0,0,0,0,0,28,58,8,7,22,1,-0.836065574,2.323529412,,,-14.80172414,,3141,4107,4092,1459,1060
11,11,1025,"Clarke County, Alabama",2,85,56,10,10,0,29,0.28978473,1,23622,43,1,0.001820337,4.23E-05,0.023255814,558,Clarke,1,25,Clarke,AL,Alabama,0.805182073,737519,737504,737497,737500,737503,737512,737500,737495,12214,13619,25833,25657,14070,11336,103,77,17,20,5,5,3,22,5,4,2,1,1,0,67,176,45,11,53,11,-12.34008097,-3.098214286,-15.18571429,-21.48854962,-20.00666667,10.30555556,6389,8160,7110,2358,1816
12,12,1027,"Clay County, Alabama",1,45,46,4,4,0,-1,0.28064325,2,13235,22,1,0.001662259,7.56E-05,0.045454545,569,Clay,1,27,Clay,AL,Alabama,0.235843661,737519,737504,737497,737500,737503,737512,737500,737495,6833,7099,13932,13697,11380,2066,55,24,6,5,5,0,0,5,3,0,0,0,0,0,172,235,98,6,86,19,-8.683908046,-0.9765625,38.61971831,-6.050359712,-19.49096706,8.816901408,3144,4399,3940,1384,1065
13,13,1031,"Coffee County, Alabama",1,131,99,7,7,0,32,0.23805176,2,52342,134,0,0.002560086,0,0,615,Coffee,1,31,Coffee,AL,Alabama,0.265889764,737519,737504,737497,737500,737503,737512,737500,737495,24684,25264,49948,48701,37330,8359,645,644,58,54,131,43,244,62,52,100,22,68,10,0,1623,1247,398,218,284,111,-12.76274891,0.851028007,-50,-29.39898009,-20.97128056,8.861792575,12084,17817,12837,4025,3185
14,14,1033,"Colbert County, Alabama",2,383,300,22,22,0,83,0.25578515,3,55241,41,2,0.000742202,3.62E-05,0.048780488,619,Colbert,1,33,Colbert,AL,Alabama,0.436641586,737519,737504,737497,737500,737503,737512,737500,737495,26159,28269,54428,53583,43789,8768,267,229,98,40,37,13,12,17,12,20,8,6,0,6,510,845,330,51,316,55,-15.06454545,0.396363636,-37.19615385,-3.249090909,-19.37818182,8.566666667,12034,17442,15489,5254,4209
15,15,1035,"Conecuh County, Alabama",1,58,44,8,8,0,14,0.29383561,0,12067,9,0,0.000745836,0,0,650,Conecuh,1,35,Conecuh,AL,Alabama,0.900584795,737519,737504,737497,737500,737503,737512,737500,737495,6412,6816,13228,13096,6788,6149,44,17,4,4,5,0,2,0,2,1,0,1,0,0,97,132,43,8,38,10,-38.52,-1.666666667,,-14.65363636,-14.69047619,,3042,3849,3975,1343,1019
16,16,1039,"Covington County, Alabama",2,187,128,13,13,0,59,0.320009905,2,37049,45,1,0.001214608,2.70E-05,0.022222222,674,Covington,1,39,Covington,AL,Alabama,0.179920103,737519,737504,737497,737500,737503,737512,737500,737495,18288,19477,37765,37243,32022,4716,214,155,34,28,20,4,29,28,12,1,1,0,0,0,135,522,217,36,204,28,-13.61412541,1.60142428,,,-21.20871529,1.724137931,8523,11568,10735,3725,3214
17,17,1041,"Crenshaw County, Alabama",1,65,29,5,5,0,36,0.12602739,2,13772,25,0,0.001815277,0,0,696,Crenshaw,1,41,Crenshaw,AL,Alabama,0.368712608,737519,737504,737497,737500,737503,737512,737500,737495,6714,7192,13906,13704,10097,3254,57,189,4,0,9,1,158,17,0,8,0,7,0,1,99,202,80,7,84,7,-29.52,-4.57,,,-28.32602339,,3308,4393,3995,1189,1021
18,18,1043,"Cullman County, Alabama",2,185,185,12,12,0,0,0.490250335,2.5,83768,58,0,0.000692389,0,0,710,Cullman,1,43,Cullman,AL,Alabama,0.115129286,737519,737504,737497,737500,737503,737512,737500,737495,39719,40687,80406,79517,76133,856,408,343,68,65,55,63,27,42,23,18,8,3,4,3,1759,889,495,69,150,102,-18.43727273,3.765454545,28.63095238,-10.12909091,-21.07,8.211578947,18641,26848,22107,7400,5410
19,19,1045,"Dale County, Alabama",1,89,77,6,6,0,12,0.26493508,2,49172,34,0,0.00069145,0,0,737,Dale,1,45,Dale,AL,Alabama,0.319597335,737519,737504,737497,737500,737503,737512,737500,737495,24825,25426,50251,48746,37236,9679,371,534,60,33,89,60,169,41,82,44,23,11,3,7,882,1505,361,241,453,127,-16.95818182,0.821818182,,-13.44318182,-20.19818182,8.428571429,12477,18120,12895,3917,2842
20,20,1047,"Dallas County, Alabama",1,175,109,23,23,0,66,0.40459973,2,37196,65,3,0.0017475,8.07E-05,0.046153846,741,Dallas,1,47,Dallas,AL,Alabama,2.217308689,737519,737504,737497,737500,737503,737512,737500,737495,20244,23576,43820,43521,12769,30423,85,149,61,11,14,10,6,20,27,11,2,7,0,2,84,299,34,7,133,7,-11.95873016,-2.890625,-4.263888889,-24.33333333,-20.39115646,9.463576159,11595,14028,12032,3530,2635
21,21,1049,"DeKalb County, Alabama",1,134,97,12,12,0,37,0.29221863,3,71513,90,2,0.001258512,2.80E-05,0.022222222,767,De Kalb,1,49,De Kalb,AL,Alabama,0.169212801,737519,737504,737497,737500,737503,737512,737500,737495,35113,35996,71109,69535,60087,1078,969,203,54,20,60,15,10,6,38,147,9,134,2,2,7051,1574,969,67,192,199,,,,,,,18366,24527,18341,5715,4160
22,22,1051,"Elmore County, Alabama",2,138,70,11,11,0,68,0.295970065,1.5,81209,111,3,0.001366844,3.69E-05,0.027027027,901,Elmore,1,51,Elmore,AL,Alabama,0.30552942,737519,737504,737497,737500,737503,737512,737500,737495,38689,40614,79303,78159,60455,15900,285,518,101,34,78,19,82,59,145,63,13,34,5,11,938,1144,322,196,339,93,-13.80108401,2.220707071,14.45,-3.362962963,-21.72037037,9.075375227,18707,29449,21711,5740,3696
23,23,1053,"Escambia County, Alabama",2,142,95,14,14,0,47,0.34572694,2,36633,32,2,0.000873529,5.46E-05,0.0625,914,Escambia,1,53,Escambia,AL,Alabama,0.463512833,737519,737504,737497,737500,737503,737512,737500,737495,19766,18553,38319,37739,23784,12220,1288,92,20,21,22,6,3,12,8,12,5,1,0,6,343,580,265,36,158,19,-17.98080808,-1.783237783,7.39675828,-22.06464646,-21.61717172,8.158730159,8679,13514,10314,3384,2428
24,24,1055,"Etowah County, Alabama",4,739,590,85,85,0,149,0.55619915,3.5,102268,146,10,0.001427622,9.78E-05,0.068493151,922,Etowah,1,55,Etowah,AL,Alabama,0.32275214,737519,737504,737497,737500,737503,737512,737500,737495,50626,53804,104430,102885,83823,15796,448,672,201,126,93,40,30,80,102,171,5,164,1,1,1975,1545,549,111,544,140,-21.32545455,-4.12,-15.625,-19.83909091,-22.85272727,8.282727273,23986,34895,29041,9097,7411
25,25,1057,"Fayette County, Alabama",1,61,45,8,8,0,16,0.23372906,2,16302,6,0,0.000368053,0,0,948,Fayette,1,57,Fayette,AL,Alabama,0.202920143,737519,737504,737497,737500,737503,737512,737500,737495,8507,8734,17241,17070,14910,1969,52,37,8,10,10,3,2,4,0,0,0,0,0,0,102,171,58,7,82,17,-10.60394537,4.443507589,15.31782946,-10,-19.14545455,6.963815789,3837,5338,4982,1768,1316
26,26,1059,"Franklin County, Alabama",2,125,74,11,11,0,51,0.332115175,1.5,31362,136,0,0.004336458,0,0,998,Franklin,1,59,Franklin,AL,Alabama,0.232093809,737519,737504,737497,737500,737503,737512,737500,737495,15828,15876,31704,31174,26320,1228,215,63,5,13,24,0,4,13,4,10,0,9,1,0,3338,530,178,18,122,153,-9.877593361,2.418881119,4.797297297,-13.44822695,-19.14215686,8.083670715,7867,11002,8010,2756,2069
27,27,1061,"Geneva County, Alabama",1,83,73,6,6,0,10,0.13143179,2,26271,11,0,0.000418713,0,0,1062,Geneva,1,61,Geneva,AL,Alabama,0.152591555,737519,737504,737497,737500,737503,737512,737500,737495,13105,13685,26790,26374,23127,2539,224,67,6,15,12,3,3,24,4,8,5,3,0,0,409,416,172,25,128,36,-21.18,3.712222222,,,-18.83272727,-0.8,5991,8464,7661,2686,1988
28,28,1063,"Greene County, Alabama",1,20,20,4,4,0,0,0.24164383,0,8111,61,1,0.007520651,0.000123289,0.016393443,1141,Greene,1,63,Greene,AL,Alabama,4.788782816,737519,737504,737497,737500,737503,737512,737500,737495,4271,4774,9045,9002,1575,7370,17,15,0,1,8,0,1,0,5,0,0,0,0,0,25,43,5,2,16,4,-11.21513353,0.528186275,21.46987952,-6.351851852,-19.42467249,6.652818991,2194,2650,2747,759,695
29,29,1065,"Hale County, Alabama",1,39,28,5,5,0,11,0.26086107,0,14651,56,2,0.003822265,0.000136509,0.035714286,1188,Hale,1,65,Hale,AL,Alabama,1.504884967,737519,737504,737497,737500,737503,737512,737500,737495,7466,8294,15760,15672,6266,9301,25,35,4,10,12,2,4,0,3,1,0,1,0,0,44,88,27,7,14,14,-13.1749031,-6.12755102,,,-23.05959302,6.509259259,3915,4864,4611,1292,1078
30,30,1069,"Houston County, Alabama",4,744,666,72,72,22,78,0.746110915,4.5,105882,97,4,0.000916114,3.78E-05,0.041237113,1337,Houston,1,69,Houston,AL,Alabama,0.34704504,737519,737504,737497,737500,737503,737512,737500,737495,48740,52807,101547,99788,71053,26176,446,820,172,92,90,92,81,198,95,49,11,16,13,9,1244,1759,459,174,581,165,-22.79979547,-4.033511007,-1.996212121,-11.74612766,-22.07464066,9.237404255,24926,34554,27392,8168,6507
31,31,1071,"Jackson County, Alabama",1,170,92,10,10,0,78,0.62826902,2,51626,50,2,0.000968504,3.87E-05,0.04,1416,Jackson,1,71,Jackson,AL,Alabama,0.220309501,737519,737504,737497,737500,737503,737512,737500,737495,26139,27088,53227,51849,48348,1781,719,185,56,27,44,7,12,18,21,48,0,41,0,7,768,1378,942,54,227,71,-10.93529894,-2.343362832,10.52287582,-9.621582734,-19.75847751,7.712050078,11985,17117,15352,5323,3450
32,32,1073,"Jefferson County, Alabama",13,4455,3687,393,393,264,768,0.629683562,7.076923077,658573,992,48,0.001506287,7.29E-05,0.048387097,1465,Jefferson,1,73,Jefferson,AL,Alabama,1.164022617,737510,737504,737497,737500,737503,737512,737500,737495,311813,346653,658466,651191,349166,276525,1740,9158,3191,2171,598,273,702,921,1302,244,45,129,16,54,14358,7275,1450,1130,2069,709,-14.38810007,-0.184139785,15.45106383,-14.28236493,-20.6692607,7.890704801,154528,241601,175894,44273,42170
33,33,1077,"Lauderdale County, Alabama",1,263,233,36,36,0,30,0.55744457,6,92729,63,2,0.000679399,2.16E-05,0.031746032,1646,Lauderdale,1,77,Lauderdale,AL,Alabama,0.356715294,737519,737504,737497,737500,737503,737512,737500,737495,44379,48330,92709,91403,80112,9257,338,685,169,220,51,79,27,66,73,34,5,19,3,7,977,1306,404,116,526,114,-17.05120028,-0.842833732,-4.944412252,-12.6501713,-20.54621875,8.549041751,19982,31783,25391,8520,7033
34,34,1079,"Lawrence County, Alabama",1,98,43,6,6,0,55,0.15132208,2,32924,14,0,0.000425222,0,0,1663,Lawrence,1,79,Lawrence,AL,Alabama,0.334810302,737519,737504,737497,737500,737503,737512,737500,737495,16791,17548,34339,32861,26647,3938,1953,42,11,8,8,2,2,5,6,6,3,1,1,1,275,1478,1174,40,118,35,-8.029220779,-0.023636364,-37.75,-2.138888889,-17.8650904,6.979166667,7964,11397,9979,3034,1965
35,35,1081,"Lee County, Alabama",1,314,299,20,20,0,15,0.68810189,10,164542,403,28,0.002449223,0.000170169,0.069478908,1672,Lee,1,81,Lee,AL,Alabama,0.613282491,737519,737504,737497,737500,737503,737512,737500,737495,69126,71121,140247,137988,100006,31901,445,3658,715,880,149,102,1189,173,450,105,24,63,4,14,1873,2259,447,450,654,204,-12.26953748,1.04145937,-29.25301205,-16.86956522,-19.12587413,7.709497207,31591,65427,30513,7527,5189
36,36,1083,"Limestone County, Alabama",2,102,97,18,18,0,5,0.485552165,3,98915,47,0,0.000475155,0,0,1709,Limestone,1,83,Limestone,AL,Alabama,0.32573021,737519,737504,737497,737500,737503,737512,737500,737495,41910,40872,82782,81314,66506,10429,547,924,281,142,96,51,181,56,117,42,8,29,3,2,2866,1468,478,189,428,151,-14.81561224,-2.618102797,14.32488688,,-21.94698314,10.81292517,19859,29883,22853,6129,4058
37,37,1089,"Madison County, Alabama",4,1151,1150,83,83,49,1,0.66504474,6,372909,237,4,0.000635544,1.07E-05,0.016877637,1805,Madison,1,89,Madison,AL,Alabama,0.701764969,737519,737504,737497,737500,737503,737512,737500,737495,164320,170491,334811,326556,228280,80376,2551,8265,2216,1562,634,395,1577,888,993,365,74,115,28,148,6719,8255,2132,1554,2065,514,-13.52225021,0.924791086,10.87046632,-11.96307238,-20.32183908,8.787439614,79490,122911,91537,23151,17722
38,38,1091,"Marengo County, Alabama",1,99,37,5,5,0,62,0.36645687,2,18863,66,3,0.003498913,0.000159042,0.045454545,1837,Marengo,1,91,Marengo,AL,Alabama,1.07299828,737519,737504,737497,737500,737503,737512,737500,737495,9913,11114,21027,20863,9751,10872,34,53,13,12,6,2,7,12,1,13,4,8,0,1,140,164,33,13,56,15,-10.01,7.75,,,-15.14454545,,5191,6566,5846,1822,1602
39,39,1093,"Marion County, Alabama",2,120,97,8,8,0,23,0.19689411,1.5,29709,85,6,0.002861086,0.000201959,0.070588235,1843,Marion,1,93,Marion,AL,Alabama,0.127017917,737519,737504,737497,737500,737503,737512,737500,737495,15293,15483,30776,30435,28791,1184,101,54,8,9,17,7,2,6,5,14,0,14,0,0,291,341,148,17,98,54,-10.12136929,2.541575492,10.64173228,-9.515358362,-18.0310559,6.768907563,6665,9734,8732,3289,2356
40,40,1095,"Marshall County, Alabama",1,150,150,20,20,0,0,0.43511954,7,96774,355,7,0.003668341,7.23E-05,0.01971831,1864,Marshall,1,95,Marshall,AL,Alabama,0.168200322,737519,737504,737497,737500,737503,737512,737500,737495,45843,47176,93019,91455,81464,1494,706,478,125,54,80,16,35,69,99,103,4,46,1,52,7210,1564,621,106,402,251,-8.127012522,6.323076923,34.44262295,-10.78021978,-17.72437673,5.661654135,23259,31685,24213,8013,5849
41,41,1097,"Mobile County, Alabama",6,1870,1464,246,246,118,406,0.742569448,5.166666667,413210,1222,66,0.002957334,0.000159725,0.05400982,2001,Mobile,1,97,Mobile,AL,Alabama,0.758925943,737519,737504,737497,737500,737503,737512,737500,737495,198374,214618,412992,406970,248647,142992,3681,7561,1152,684,687,207,223,2652,1956,204,62,52,10,80,3885,6022,1541,795,1628,450,-16.99909091,-1.09,0.752727273,-14.99363636,-23.65,9.326363636,103581,146325,109765,29985,23336
42,42,1099,"Monroe County, Alabama",1,94,49,8,8,0,45,0.11646631,2,20733,13,1,0.00062702,4.82E-05,0.076923077,2022,Monroe,1,99,Monroe,AL,Alabama,0.747540984,737519,737504,737497,737500,737503,737512,737500,737495,11109,11959,23068,22734,12718,9614,260,67,25,4,11,2,5,4,16,9,0,5,0,4,66,334,132,25,114,9,-17.50939227,-0.239700375,6.171875,-21.40289256,-21.80907372,9.390342052,5841,7139,6470,1984,1634
43,43,1101,"Montgomery County, Alabama",5,1061,875,85,85,65,186,0.63716562,3.8,226486,438,8,0.001933894,3.53E-05,0.01826484,2037,Montgomery,1,101,Montgomery,AL,Alabama,1.732670647,737519,737504,737497,737500,737503,737512,737500,737495,109167,120196,229363,226457,90656,125477,589,4821,1024,465,312,135,1818,316,751,171,23,114,15,19,4743,2906,373,418,826,219,-16.10531697,-0.594129555,17.6819222,-13.67292225,-20.27482877,9.700460829,56167,88416,57359,14768,12653
44,44,1103,"Morgan County, Alabama",1,273,222,23,23,0,51,0.49895102,3,119679,76,0,0.000635032,0,0,2067,Morgan,1,103,Morgan,AL,Alabama,0.300218748,737519,737504,737497,737500,737503,737512,737500,737495,58886,60604,119490,117126,95404,14185,1042,691,229,122,95,66,43,69,67,107,17,80,0,10,5697,2364,937,185,666,334,-9.756756757,5.662447257,14.83870968,-4.9,-18.61813187,6.07486631,28624,41139,32856,9675,7196
45,45,1109,"Pike County, Alabama",1,97,97,9,9,0,0,0.18395707,2,33114,79,0,0.002385698,0,0,2331,Pike,1,109,Pike,AL,Alabama,0.65722085,737519,737504,737497,737500,737503,737512,737500,737495,15700,17199,32899,32409,19144,12054,192,654,121,337,10,17,55,71,43,24,5,17,0,2,341,490,149,66,127,26,-7.923364486,1.805194805,,-4.208333333,-17.60242792,7.182926829,6682,14461,7545,2436,1775
46,46,1111,"Randolph County, Alabama",1,15,15,3,3,0,0,0.22389211,1,22722,79,4,0.003476807,0.000176041,0.050632911,2448,Randolph,1,111,Randolph,AL,Alabama,0.29733939,737519,737504,737497,737500,737503,737512,737500,737495,11104,11809,22913,22652,17532,4607,84,55,12,11,20,1,0,10,1,5,0,2,0,3,369,261,95,9,100,30,-7.637055838,8.812169312,-0.666666667,,-16.74067164,3.888059701,5473,7125,6427,2220,1668
47,47,1113,"Russell County, Alabama",2,128,105,10,10,0,23,0.672205255,2,57961,63,0,0.001086938,0,0,2546,Russell,1,113,Russell,AL,Alabama,1.040065147,737519,737504,737497,737500,737503,737512,737500,737495,25287,27660,52947,51843,28449,22135,219,236,29,23,83,17,40,14,30,113,23,61,17,12,691,1104,224,157,330,84,-15.72855275,9.707814881,,,-19.54229129,8.558220211,13499,19061,13667,3815,2905
48,48,1115,"St. Clair County, Alabama",1,40,40,6,6,0,0,0.58636987,2,89512,76,0,0.000849048,0,0,2732,St Clair,1,115,St Clair,AL,Alabama,0.176582099,737519,737504,737497,737500,737503,737512,737500,737495,41904,41689,83593,82470,73741,7150,281,518,145,77,77,30,32,67,90,46,6,20,2,18,734,1123,414,135,322,127,,,,,,,19826,29770,23088,6682,4227
49,49,1117,"Shelby County, Alabama",2,286,246,32,32,0,40,0.577872245,3,217702,328,13,0.001506647,5.97E-05,0.039634146,2666,Shelby,1,117,Shelby,AL,Alabama,0.314667214,737519,737504,737497,737500,737503,737512,737500,737495,95557,99528,195085,192401,161943,20732,553,3726,1036,583,243,290,458,695,421,74,9,49,9,7,5373,2684,574,516,664,422,-11.68700787,2.503355705,18.74305556,-12.83333333,-20.78268551,9.659793814,49962,72027,52469,12488,8139
50,50,1119,"Sumter County, Alabama",1,33,33,6,6,0,0,0.45330012,0,12427,81,3,0.006518066,0.00024141,0.037037037,2818,Sumter,1,119,Sumter,AL,Alabama,3.001897533,737519,737504,737497,737500,737503,737512,737500,737495,6261,7502,13763,13716,3326,10316,11,33,5,8,1,1,0,13,5,4,1,2,0,1,26,47,5,1,14,1,-22.80871105,-7.100292536,-33.99247664,-19.96592765,-24.90277082,8.294319645,3068,4909,3723,1057,1006
51,51,1121,"Talladega County, Alabama",2,290,207,14,14,0,83,0.23312618,2,79978,64,2,0.00080022,2.50E-05,0.03125,2838,Talladega,1,121,Talladega,AL,Alabama,0.587998448,737519,737504,737497,737500,737503,737512,737500,737495,40077,42214,82291,81190,53739,26055,264,339,97,72,58,11,24,50,27,6,2,0,3,1,787,1101,331,78,403,80,-11.99636364,1.192727273,4.973076923,-8.293636364,-24.06545455,8.777777778,19285,28320,23095,6734,4857
52,52,1123,"Tallapoosa County, Alabama",2,127,80,14,14,0,47,0.2777289,1,40367,298,19,0.007382268,0.000470681,0.063758389,2840,Tallapoosa,1,123,Tallapoosa,AL,Alabama,0.405987936,737519,737504,737497,737500,737503,737512,737500,737495,20190,21426,41616,41209,29087,11083,121,197,40,40,16,0,71,13,17,8,0,6,1,1,713,407,120,28,142,28,-13.39363636,6.067142857,,,-21.27363636,9.341269841,9219,13033,12171,4107,3086
53,53,1125,"Tuscaloosa County, Alabama",4,979,780,57,57,51,199,0.762384938,8.25,209355,237,2,0.001132048,9.55E-06,0.008438819,2927,Tuscaloosa,1,125,Tuscaloosa,AL,Alabama,0.665549106,737519,737504,737497,737500,737503,737512,737500,737495,94400,100256,194656,192557,129004,57611,526,2306,559,655,214,82,311,156,329,117,7,94,4,12,2993,2099,409,346,640,258,-22.33181818,-1.706363636,-5.605,-14.29272727,-27.90545455,11.01272727,41786,87233,44587,11349,9701
54,54,1127,"Walker County, Alabama",1,267,207,12,12,0,60,0.28748593,4,63521,100,0,0.001574283,0,0,3010,Walker,1,127,Walker,AL,Alabama,0.185321025,737519,737504,737497,737500,737503,737512,737500,737495,32668,34355,67023,66195,61146,3928,251,195,42,25,26,5,32,39,26,36,4,31,0,1,639,828,343,50,286,55,-15.02183772,0.704426698,-5.469503496,-11.82482993,-21.24085576,8.682806324,15107,21757,19265,6335,4559
55,55,1129,"Washington County, Alabama",1,25,15,3,3,0,10,0.43178082,1,16326,38,2,0.002327576,0.000122504,0.052631579,3073,Washington,1,129,Washington,AL,Alabama,0.392916253,737519,737504,737497,737500,737503,737512,737500,737495,8656,8925,17581,17374,11508,4380,1411,20,3,1,9,1,2,1,3,12,1,3,8,0,43,207,101,8,17,15,-12.54726651,-0.141856392,31.38421955,-13.6039783,-19.77826942,8.435515873,4484,5560,4947,1533,1057
56,56,1131,"Wilcox County, Alabama",1,30,21,4,4,0,9,0.065753423,0,10373,72,4,0.006941097,0.000385617,0.055555556,3151,Wilcox,1,131,Wilcox,AL,Alabama,2.497985032,737519,737504,737497,737500,737503,737512,737500,737495,5518,6152,11670,11619,3126,8465,14,4,1,0,0,2,1,0,0,1,0,1,0,0,9,51,15,3,10,2,-52.4,-4.157894737,,,-22.25714286,,3150,3534,3234,971,781
